Last,First,Age,Pos,Team,Level,Bat,Throw,Run,Arm,IF_Rng,OF_Rng,Fld,F_P,F_C,F_1B,F_2B,F_3B,F_SS,F_LF,F_CF,F_RF,B_AB,B_H,B_B2,B_B3,B_HR,B_BB,B_SO,vL_AVG,vL_OBP,vL_SLG,vR_AVG,vR_OBP,vR_SLG,Pull,Middle,Opp,B_GB,END,P_AB,P_H,P_B2,P_B3,P_HR,P_BB,P_SO,P1,P1_Qual,P1_vL_AVG,P1_vL_OBP,P1_vL_SLG,P1_vR_AVG,P1_vR_OBP,P1_vR_SLG,P2,P2_Qual,P2_vL_AVG,P2_vL_OBP,P2_vL_SLG,P2_vR_AVG,P2_vR_OBP,P2_vR_SLG,P3,P3_Qual,P3_vL_AVG,P3_vL_OBP,P3_vL_SLG,P3_vR_AVG,P3_vR_OBP,P3_vR_SLG,P4,P4_Qual,P4_vL_AVG,P4_vL_OBP,P4_vL_SLG,P4_vR_AVG,P4_vR_OBP,P4_vR_SLG,P5,P5_Qual,P5_vL_AVG,P5_vL_OBP,P5_vL_SLG,P5_vR_AVG,P5_vR_OBP,P5_vR_SLG,P6,P6_Qual,P6_vL_AVG,P6_vL_OBP,P6_vL_SLG,P6_vR_AVG,P6_vR_OBP,P6_vR_SLG,P_GB,
High,Adam,24,SS,PEOR,AAA,R,R,3.01,3.90,1.63,1.07,0.972,0.00,0.00,1.00,0.00,0.00,0.93,0.00,0.00,0.00,600,163,30,7,16,68,77,0.278,0.353,0.438,0.264,0.336,0.412,0.408,0.448,0.144,0.66,2.13,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.542,0.677,0.354,0.520,0.643,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,53.56,
Schemmel,Fabian,24,P,PEOR,AAA,R,R,3.28,9.44,3.88,3.70,0.988,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,4,1,0,4,32,0.177,0.211,0.244,0.163,0.193,0.216,0.230,0.524,0.247,0.73,5.30,600,135,40,4,23,69,194,Fastball,0.27,0.208,0.290,0.413,0.196,0.274,0.388,Curve,0.18,0.229,0.311,0.434,0.217,0.295,0.409,Slider,0.34,0.237,0.319,0.441,0.224,0.303,0.416,Forkball,0.21,0.256,0.338,0.460,0.243,0.322,0.435,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,55.73,
Shipp,Stewart,31,LF,PEOR,ML,R,R,4.61,5.33,3.83,4.69,0.993,0.00,0.00,0.21,0.00,0.00,0.00,1.00,1.00,0.24,600,168,37,3,19,50,60,0.285,0.343,0.460,0.273,0.327,0.436,0.196,0.526,0.278,0.36,1.41,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,50.36,
Debari,John,24,RF,PEOR,AAA,L,L,3.67,7.38,3.13,3.61,0.974,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,175,14,5,6,97,43,0.282,0.379,0.347,0.301,0.403,0.385,0.467,0.340,0.192,0.63,1.53,84,30,8,1,5,30,6,Fastball,1.00,0.355,0.522,0.645,0.370,0.541,0.675,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,53.10,
Hermann,Jonathan,23,P,PEOR,AA,L,L,2.41,8.23,4.90,2.85,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,2,0,0,3,26,0.164,0.186,0.177,0.176,0.203,0.203,0.281,0.560,0.159,0.72,6.29,600,155,40,4,23,52,150,Fastball,0.50,0.236,0.293,0.428,0.252,0.313,0.458,Curve,0.39,0.257,0.314,0.448,0.272,0.334,0.479,Split Finger,0.11,0.295,0.352,0.486,0.311,0.372,0.517,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,46.74,
Maloy,Harvey,24,P,PEOR,AA,R,R,1.14,9.04,4.60,3.29,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,1,0,4,38,0.157,0.191,0.213,0.143,0.174,0.187,0.185,0.463,0.353,0.67,5.43,600,162,33,4,19,49,137,Fastball,0.35,0.260,0.317,0.432,0.245,0.299,0.403,Changeup,0.45,0.280,0.338,0.452,0.266,0.319,0.423,Sinker,0.20,0.303,0.361,0.475,0.289,0.342,0.446,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.68,
Collins,Jeff,25,1B,PEOR,AAA,R,R,4.19,6.19,3.24,4.45,0.995,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,600,164,31,1,12,43,65,0.283,0.335,0.408,0.265,0.311,0.370,0.260,0.560,0.180,0.69,1.67,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.37,
McFadden,Richard,24,LF,PEOR,AA,L,L,3.73,5.16,2.67,2.52,0.990,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,600,179,33,4,0,96,58,0.293,0.388,0.355,0.305,0.403,0.379,0.270,0.402,0.328,0.71,2.79,84,30,8,1,5,30,6,Fastball,1.00,0.357,0.525,0.650,0.367,0.538,0.670,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,52.96,
Tirone,Kenneth,28,P,PEOR,ML,R,R,3.74,8.71,4.58,3.96,0.983,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,1,1,5,36,0.176,0.218,0.262,0.164,0.202,0.238,0.271,0.438,0.291,0.51,7.85,600,145,26,3,15,38,146,Fastball,0.41,0.228,0.276,0.362,0.214,0.258,0.334,Curve,0.30,0.249,0.296,0.383,0.235,0.278,0.354,Changeup,0.22,0.265,0.312,0.399,0.251,0.294,0.370,Forkball,0.07,0.321,0.368,0.455,0.307,0.350,0.426,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,66.57,
Opal,Paul,35,P,LAKE,A,R,R,3.81,8.57,3.37,2.41,0.978,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,4,1,1,3,24,0.166,0.192,0.262,0.154,0.177,0.238,0.233,0.638,0.128,0.49,3.64,600,145,31,3,18,61,105,Fastball,0.60,0.235,0.308,0.398,0.221,0.290,0.370,Curve,0.29,0.258,0.330,0.420,0.244,0.312,0.392,Forkball,0.11,0.296,0.368,0.458,0.282,0.350,0.430,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.11,
Kramer,Gary,24,P,PEOR,AA,R,R,2.97,8.66,2.57,2.03,0.981,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,4,1,1,4,23,0.177,0.211,0.274,0.163,0.193,0.246,0.397,0.437,0.166,0.62,4.72,600,158,32,3,18,46,138,Fastball,0.36,0.241,0.296,0.405,0.224,0.274,0.372,Curve,0.14,0.266,0.320,0.430,0.249,0.299,0.397,Slider,0.13,0.279,0.333,0.443,0.262,0.312,0.409,Changeup,0.18,0.283,0.337,0.447,0.266,0.316,0.414,Split Finger,0.10,0.313,0.368,0.477,0.296,0.346,0.444,Sinker,0.09,0.325,0.380,0.489,0.309,0.359,0.456,63.52,
Sandler,Shawn,27,CF,PEOR,ML,L,R,6.37,6.04,5.47,7.04,0.995,0.00,0.00,0.01,0.00,0.01,1.00,0.03,1.00,1.00,600,160,40,2,21,46,81,0.260,0.310,0.432,0.272,0.326,0.457,0.491,0.333,0.177,0.68,2.71,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,36.76,
Voskamp Jr,Jim,26,P,PEOR,AAA,R,R,1.28,8.94,2.89,3.82,0.979,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,0,0,4,34,0.178,0.212,0.216,0.162,0.192,0.184,0.315,0.445,0.240,0.73,3.67,600,155,37,4,22,52,140,Fastball,0.23,0.234,0.295,0.426,0.216,0.273,0.391,Curve,0.20,0.254,0.315,0.446,0.236,0.293,0.412,Slider,0.17,0.267,0.329,0.460,0.250,0.307,0.425,Changeup,0.18,0.278,0.339,0.470,0.261,0.317,0.436,Split Finger,0.08,0.318,0.379,0.510,0.300,0.357,0.475,Forkball,0.14,0.305,0.366,0.497,0.287,0.344,0.462,52.65,
Corbett,Barry,25,P,SUGR,ML,L,L,3.91,8.79,3.77,3.66,0.985,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,1,1,4,27,0.144,0.175,0.218,0.156,0.190,0.242,0.512,0.336,0.152,0.57,4.57,600,153,28,3,16,50,153,Curve,0.43,0.232,0.288,0.362,0.246,0.305,0.390,Changeup,0.41,0.252,0.308,0.383,0.266,0.325,0.410,Forkball,0.16,0.278,0.334,0.409,0.292,0.352,0.436,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,56.79,
Haviland,Paul,21,P,SUGR,AA,R,R,3.11,8.46,2.20,3.13,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,0,1,3,40,0.166,0.192,0.231,0.154,0.177,0.209,0.333,0.445,0.222,0.60,3.98,600,154,32,4,18,50,157,Fastball,0.36,0.241,0.300,0.403,0.230,0.286,0.381,Curve,0.25,0.262,0.321,0.424,0.251,0.307,0.402,Changeup,0.22,0.275,0.334,0.437,0.264,0.320,0.416,Forkball,0.16,0.293,0.352,0.455,0.282,0.339,0.434,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,65.31,
Scarbrough,George,33,P,FA,A,R,R,1.69,9.14,2.44,3.16,0.984,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,0,1,6,40,0.178,0.228,0.247,0.162,0.206,0.213,0.356,0.438,0.206,0.65,3.43,600,151,33,4,19,59,133,Fastball,0.24,0.228,0.296,0.393,0.219,0.284,0.376,Curve,0.16,0.248,0.316,0.414,0.239,0.305,0.396,Slider,0.27,0.257,0.325,0.423,0.248,0.313,0.405,Changeup,0.22,0.271,0.339,0.437,0.262,0.328,0.419,Forkball,0.12,0.298,0.366,0.464,0.289,0.355,0.446,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.73,
Laudermilk,Bob,35,P,FA,A,R,R,3.25,8.42,2.64,3.88,0.989,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,1,1,3,23,0.169,0.196,0.248,0.151,0.173,0.212,0.260,0.508,0.231,0.69,8.00,600,157,26,3,15,60,140,Fastball,0.41,0.248,0.316,0.384,0.235,0.300,0.359,Curve,0.23,0.269,0.338,0.406,0.257,0.322,0.381,Slider,0.26,0.280,0.348,0.416,0.267,0.332,0.391,Sinker,0.11,0.314,0.382,0.450,0.301,0.366,0.425,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,67.40,
Gildea,Charley,28,RF,SUGR,AAA,L,L,5.71,2.65,6.37,7.13,0.979,0.00,0.00,1.00,0.06,0.00,0.00,1.00,1.00,0.97,600,169,38,4,12,41,79,0.278,0.323,0.413,0.287,0.334,0.431,0.425,0.433,0.142,0.56,2.33,84,30,8,1,5,30,6,Fastball,1.00,0.358,0.526,0.652,0.366,0.537,0.668,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,54.02,
Leclerc,Alvin,27,P,FRIS,AAA,R,R,1.85,8.75,3.24,2.43,0.992,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,2,0,1,6,43,0.177,0.226,0.234,0.163,0.208,0.206,0.289,0.540,0.171,0.73,3.66,600,149,32,4,19,35,145,Fastball,0.28,0.239,0.284,0.408,0.220,0.259,0.369,Slider,0.35,0.259,0.304,0.428,0.240,0.279,0.389,Changeup,0.37,0.272,0.316,0.440,0.252,0.291,0.401,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.22,
Yoes,Fred,33,C,SUGR,ML,R,R,3.71,7.88,3.97,3.10,0.990,0.00,1.00,0.07,0.00,1.00,0.01,1.00,0.01,1.00,600,178,33,4,22,56,72,0.304,0.366,0.489,0.289,0.347,0.459,0.301,0.418,0.281,0.62,2.37,84,30,8,1,5,30,6,Fastball,1.00,0.365,0.536,0.666,0.359,0.527,0.653,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,35.94,
Stclair,Courtney,34,2B,WISC,A,R,R,3.76,3.10,2.69,4.03,0.994,0.00,0.50,0.23,1.00,1.00,0.00,1.00,1.00,1.00,600,189,37,2,17,42,38,0.321,0.368,0.482,0.309,0.353,0.458,0.363,0.573,0.065,0.65,2.02,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,42.70,
Chambers,Jose,29,P,SUGR,AAA,L,L,1.07,8.36,4.03,2.86,0.979,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,0,1,3,20,0.142,0.164,0.194,0.158,0.185,0.226,0.413,0.383,0.204,0.72,5.95,600,146,29,3,17,73,206,Fastball,0.26,0.214,0.294,0.350,0.227,0.311,0.376,Curve,0.18,0.235,0.315,0.371,0.248,0.332,0.397,Slider,0.26,0.244,0.324,0.380,0.257,0.341,0.406,Changeup,0.30,0.254,0.335,0.390,0.267,0.351,0.416,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,52.45,
Lapeyrolerie,Chris,31,P,ROME,ML,L,L,3.51,8.83,3.19,2.84,0.989,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,1,1,4,36,0.133,0.165,0.207,0.147,0.181,0.233,0.313,0.533,0.154,0.59,5.92,600,152,26,3,15,59,76,Fastball,0.45,0.233,0.299,0.359,0.243,0.311,0.378,Curve,0.30,0.254,0.320,0.380,0.264,0.332,0.399,Slider,0.25,0.268,0.334,0.393,0.278,0.346,0.413,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,61.63,
Lee,Jose,23,RF,SUGR,AAA,R,R,3.60,7.14,3.60,4.20,0.992,0.00,0.00,0.00,0.00,0.06,0.00,0.00,1.00,1.00,600,167,29,5,27,70,108,0.286,0.363,0.495,0.272,0.345,0.467,0.337,0.320,0.343,0.71,2.44,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.542,0.676,0.354,0.521,0.643,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,63.54,
Miles,Paul,23,CF,SUGR,AAA,L,R,4.99,6.91,8.00,5.45,0.975,0.00,0.00,1.00,0.00,1.00,0.05,1.00,0.92,1.00,600,178,27,5,6,57,44,0.289,0.348,0.376,0.305,0.368,0.408,0.254,0.632,0.114,0.67,2.54,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.537,0.668,0.358,0.526,0.651,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,39.68,
Wallace,Micheal,32,P,FA,A,R,R,1.73,8.98,4.67,2.27,0.973,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,0,1,4,35,0.165,0.199,0.220,0.155,0.186,0.200,0.215,0.514,0.271,0.63,5.69,600,160,23,3,13,55,114,Fastball,0.34,0.251,0.315,0.371,0.237,0.297,0.342,Curve,0.25,0.272,0.336,0.391,0.257,0.317,0.362,Changeup,0.24,0.284,0.348,0.404,0.270,0.330,0.375,Sinker,0.18,0.301,0.365,0.421,0.287,0.347,0.392,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,57.73,
Fremont,Michael,34,2B,SUGR,ML,R,R,6.37,6.10,4.16,3.67,0.987,0.00,0.01,1.00,1.00,1.00,1.00,0.31,0.00,0.09,600,171,39,5,29,57,61,0.295,0.361,0.530,0.275,0.335,0.490,0.383,0.492,0.125,0.43,2.91,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.77,
Shetrawski,Timothy,23,P,SUGR,AAA,L,L,1.96,8.57,3.78,3.05,0.982,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,0,1,5,45,0.152,0.190,0.204,0.168,0.210,0.236,0.355,0.469,0.176,0.59,3.77,600,172,24,3,14,46,133,Fastball,0.24,0.256,0.304,0.367,0.268,0.320,0.392,Curve,0.32,0.276,0.325,0.387,0.289,0.341,0.412,Slider,0.21,0.292,0.341,0.403,0.305,0.357,0.428,Changeup,0.23,0.302,0.351,0.413,0.315,0.367,0.438,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,68.41,
Davis,Korey,27,LF,SUGR,AA,R,R,4.08,4.06,3.05,2.87,0.990,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,600,160,25,6,4,32,37,0.273,0.311,0.359,0.260,0.294,0.333,0.361,0.442,0.196,0.61,2.63,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.538,0.670,0.357,0.525,0.649,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.76,
Lewis,Lester,27,P,SUGR,AAA,R,R,2.66,8.59,2.63,3.99,0.995,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,2,1,0,4,27,0.157,0.191,0.203,0.143,0.174,0.177,0.344,0.401,0.255,0.66,6.40,600,157,22,2,13,61,109,Fastball,0.23,0.245,0.316,0.361,0.229,0.295,0.329,Curve,0.21,0.265,0.336,0.381,0.249,0.315,0.350,Slider,0.28,0.275,0.346,0.391,0.260,0.326,0.360,Changeup,0.27,0.288,0.359,0.404,0.272,0.339,0.373,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,49.05,
Lipszyc,Woodrow,26,P,SUGR,AAA,R,R,1.01,9.15,2.72,3.43,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,1,0,3,23,0.157,0.184,0.215,0.143,0.165,0.185,0.453,0.317,0.230,0.66,4.58,600,143,32,4,19,70,159,Fastball,0.25,0.219,0.301,0.382,0.209,0.287,0.361,Curve,0.28,0.239,0.321,0.402,0.229,0.307,0.381,Changeup,0.27,0.252,0.334,0.415,0.242,0.320,0.394,Sinker,0.20,0.269,0.350,0.432,0.258,0.337,0.410,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,76.23,
Sublett,Steve,31,P,SUGR,ML,R,R,1.54,8.53,4.35,3.61,0.973,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,17,3,0,0,6,29,0.178,0.227,0.216,0.162,0.207,0.184,0.155,0.541,0.304,0.67,4.98,600,161,25,3,15,52,81,Fastball,0.36,0.258,0.319,0.391,0.243,0.300,0.362,Changeup,0.38,0.278,0.339,0.411,0.263,0.320,0.382,Forkball,0.27,0.294,0.355,0.426,0.279,0.336,0.398,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.37,
Allred,Bert,21,1B,SUGR,AA,L,L,2.69,6.17,2.12,1.99,0.981,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,600,156,34,7,26,53,104,0.251,0.309,0.453,0.268,0.330,0.487,0.514,0.339,0.147,0.58,1.01,84,30,8,1,5,30,6,Fastball,1.00,0.357,0.524,0.649,0.367,0.538,0.670,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.76,
Burk,Roderick,30,RF,SUGR,ML,R,R,3.13,5.08,3.45,2.35,0.985,0.00,0.00,0.26,1.00,1.00,0.02,0.03,0.02,1.00,600,170,26,2,30,61,63,0.291,0.359,0.501,0.277,0.341,0.473,0.455,0.394,0.151,0.50,2.43,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.88,
Kuza,Kevin,30,RF,SUGR,AAA,R,R,1.82,3.39,1.18,1.08,0.997,0.00,0.04,1.00,1.00,0.00,0.00,0.00,0.00,1.00,600,163,38,3,15,72,81,0.278,0.358,0.434,0.265,0.341,0.408,0.322,0.455,0.223,0.56,1.84,84,30,8,1,5,30,6,Fastball,1.00,0.372,0.544,0.680,0.352,0.519,0.640,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.95,
Randell,Archie,26,CF,SUGR,ML,L,L,3.50,2.21,3.66,3.10,0.987,0.00,0.00,1.00,0.35,0.00,0.00,1.00,0.52,1.00,600,160,37,2,28,63,97,0.259,0.327,0.457,0.274,0.346,0.488,0.567,0.245,0.188,0.56,2.97,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.523,0.647,0.369,0.540,0.673,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,61.45,
McKinney,Jason,27,P,SUGR,ML,L,L,1.15,8.73,3.88,3.68,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,3,0,0,5,34,0.125,0.165,0.151,0.135,0.177,0.169,0.247,0.486,0.267,0.71,3.81,600,150,31,3,18,51,97,Fastball,0.31,0.223,0.279,0.367,0.241,0.302,0.402,Slider,0.25,0.244,0.300,0.387,0.261,0.322,0.422,Changeup,0.44,0.253,0.309,0.397,0.270,0.331,0.431,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,42.32,
Daily,Lee,33,CF,SUGR,AAA,R,R,4.52,3.60,6.50,5.64,0.981,0.00,0.00,1.00,0.35,0.14,0.00,1.00,1.00,1.00,600,172,46,3,16,57,85,0.293,0.357,0.468,0.279,0.338,0.438,0.443,0.344,0.213,0.60,1.43,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.543,0.677,0.353,0.520,0.642,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.19,
